name,symbol,market
삼성전자,005930.KS,KOSPI
SK하이닉스,000660.KS,KOSPI
현대차,005380.KS,KOSPI
삼성전자우,005935.KS,KOSPI
LG에너지솔루션,373220.KS,KOSPI
삼성바이오로직스,207940.KS,KOSPI
SK스퀘어,402340.KS,KOSPI
한화에어로스페이스,012450.KS,KOSPI
기아,000270.KS,KOSPI
두산에너빌리티,034020.KS,KOSPI
HD현대중공업,329180.KS,KOSPI
KB금융,105560.KS,KOSPI
셀트리온,068270.KS,KOSPI
삼성물산,028260.KS,KOSPI
신한지주,055550.KS,KOSPI
한화오션,042660.KS,KOSPI
NAVER,035420.KS,KOSPI
한국전력,015760.KS,KOSPI
현대모비스,012330.KS,KOSPI
삼성생명,032830.KS,KOSPI
고려아연,010130.KS,KOSPI
하나금융지주,086790.KS,KOSPI
HD현대일렉트릭,267260.KS,KOSPI
삼성SDI,006400.KS,KOSPI
POSCO홀딩스,005490.KS,KOSPI
HD한국조선해양,009540.KS,KOSPI
미래에셋증권,006800.KS,KOSPI
카카오,035720.KS,KOSPI
삼성중공업,010140.KS,KOSPI
삼성화재,000810.KS,KOSPI
우리금융지주,316140.KS,KOSPI
SK,034730.KS,KOSPI
현대로템,064350.KS,KOSPI
메리츠금융지주,138040.KS,KOSPI
LG화학,051910.KS,KOSPI
삼성전기,009150.KS,KOSPI
효성중공업,298040.KS,KOSPI
한화시스템,272210.KS,KOSPI
포스코퓨처엠,003670.KS,KOSPI
KT&G,033780.KS,KOSPI
HMM,011200.KS,KOSPI
HD현대,267250.KS,KOSPI
한미반도체,042700.KS,KOSPI
기업은행,024110.KS,KOSPI
SK이노베이션,096770.KS,KOSPI
현대글로비스,086280.KS,KOSPI
LS ELECTRIC,010120.KS,KOSPI
LG전자,066570.KS,KOSPI
한국항공우주,047810.KS,KOSPI
하이브,352820.KS,KOSPI
SK텔레콤,017670.KS,KOSPI
KT,030200.KS,KOSPI
삼성에피스홀딩스,0126Z0.KS,KOSPI
LG,003550.KS,KOSPI
두산,000150.KS,KOSPI
삼성에스디에스,018260.KS,KOSPI
레인보우로보틱스,277810.KQ,KOSDAQ
카카오뱅크,323410.KS,KOSPI
현대건설,000720.KS,KOSPI
삼천당제약,000250.KQ,KOSDAQ
한국금융지주,071050.KS,KOSPI
DB손해보험,005830.KS,KOSPI
크래프톤,259960.KS,KOSPI
포스코인터내셔널,047050.KS,KOSPI
S-Oil,010950.KS,KOSPI
키움증권,039490.KS,KOSPI
현대오토에버,307950.KS,KOSPI
에이비엘바이오,298380.KQ,KOSDAQ
에이피알,278470.KS,KOSPI
LIG넥스원,079550.KS,KOSPI
NH투자증권,005940.KS,KOSPI
카카오페이,377300.KS,KOSPI
현대차2우B,005387.KS,KOSPI
대한항공,003490.KS,KOSPI
SK바이오팜,326030.KS,KOSPI
한화,000880.KS,KOSPI
이수페타시스,007660.KS,KOSPI
유한양행,000100.KS,KOSPI
한국타이어앤테크놀로지,161390.KS,KOSPI
아모레퍼시픽,090430.KS,KOSPI
삼양식품,003230.KS,KOSPI
삼성증권,016360.KS,KOSPI
코오롱티슈진,950160.KQ,KOSDAQ
한진칼,180640.KS,KOSPI
HD현대마린솔루션,443060.KS,KOSPI
한화솔루션,009830.KS,KOSPI
한미약품,128940.KS,KOSPI
삼성카드,029780.KS,KOSPI
LS,006260.KS,KOSPI
HLB,028300.KQ,KOSDAQ
LG유플러스,032640.KS,KOSPI
두산로보틱스,454910.KS,KOSPI
LG씨엔에스,064400.KS,KOSPI
GS,078930.KS,KOSPI
삼성E&A,028050.KS,KOSPI
케어젠,214370.KQ,KOSDAQ
CJ,001040.KS,KOSPI
HD건설기계,267270.KS,KOSPI
펩트론,087010.KQ,KOSDAQ
현대차우,005385.KS,KOSPI
BNK금융지주,138930.KS,KOSPI
포스코DX,022100.KS,KOSPI
두산밥캣,241560.KS,KOSPI
대한전선,001440.KS,KOSPI
코웨이,021240.KS,KOSPI
LG디스플레이,034220.KS,KOSPI
한전기술,052690.KS,KOSPI
LG이노텍,011070.KS,KOSPI
JB금융지주,175330.KS,KOSPI
맥쿼리인프라,088980.KS,KOSPI
오리온,271560.KS,KOSPI
넷마블,251270.KS,KOSPI
엔씨소프트,036570.KS,KOSPI
엘앤에프,066970.KS,KOSPI
DB하이텍,000990.KS,KOSPI
에코프로머티,450080.KS,KOSPI
한화엔진,082740.KS,KOSPI
산일전기,062040.KS,KOSPI
메지온,140410.KQ,KOSDAQ
현대제철,004020.KS,KOSPI
KCC,002380.KS,KOSPI
SKC,011790.KS,KOSPI
LG생활건강,051900.KS,KOSPI
로보티즈,108490.KQ,KOSDAQ
현대엘리베이터,017800.KS,KOSPI
영원무역,111770.KS,KOSPI
한온시스템,018880.KS,KOSPI
SK바이오사이언스,302440.KS,KOSPI
강원랜드,035250.KS,KOSPI
한국가스공사,036460.KS,KOSPI
보로노이,310210.KQ,KOSDAQ
서울보증보험,031210.KS,KOSPI
금호석유화학,011780.KS,KOSPI
현대무벡스,319400.KQ,KOSDAQ
디앤디파마텍,347850.KQ,KOSDAQ
한화비전,489790.KS,KOSPI
에임드바이오,0009K0.KQ,KOSDAQ
에스원,012750.KS,KOSPI
CJ제일제당,097950.KS,KOSPI
롯데지주,004990.KS,KOSPI
신세계,004170.KS,KOSPI
한미사이언스,008930.KS,KOSPI
한솔케미칼,014680.KS,KOSPI
롯데케미칼,011170.KS,KOSPI
한화생명,088350.KS,KOSPI
일진전기,103590.KS,KOSPI
이수스페셜티케미컬,457190.KS,KOSPI
에스피지,058610.KQ,KOSDAQ
풍산,103140.KS,KOSPI
세아베스틸지주,001430.KS,KOSPI
셀트리온제약,068760.KQ,KOSDAQ
신영증권,001720.KS,KOSPI
대덕전자,353200.KS,KOSPI
원익홀딩스,030530.KQ,KOSDAQ
OCI홀딩스,010060.KS,KOSPI
이마트,139480.KS,KOSPI
iM금융지주,139130.KS,KOSPI
영원무역홀딩스,009970.KS,KOSPI
F&F,383220.KS,KOSPI
대한조선,439260.KS,KOSPI
롯데쇼핑,023530.KS,KOSPI
HL만도,204320.KS,KOSPI
HD현대마린엔진,071970.KS,KOSPI
미스토홀딩스,081660.KS,KOSPI
현대해상,001450.KS,KOSPI
동진쎄미켐,005290.KQ,KOSDAQ
팬오션,028670.KS,KOSPI
동서,026960.KS,KOSPI
한전KPS,051600.KS,KOSPI
농심,004370.KS,KOSPI
한올바이오파마,009420.KS,KOSPI
한국앤컴퍼니,000240.KS,KOSPI
더존비즈온,012510.KS,KOSPI
실리콘투,257720.KQ,KOSDAQ
CJ대한통운,000120.KS,KOSPI
올릭스,226950.KQ,KOSDAQ
롯데에너지머티리얼즈,020150.KS,KOSPI
아모레퍼시픽홀딩스,002790.KS,KOSPI
에스엘,005850.KS,KOSPI
제일기획,030000.KS,KOSPI
코리안리,003690.KS,KOSPI
효성,004800.KS,KOSPI
비에이치아이,083650.KQ,KOSDAQ
유진테크,084370.KQ,KOSDAQ
오름테라퓨틱,475830.KQ,KOSDAQ
두산퓨얼셀,336260.KS,KOSPI
대우건설,047040.KS,KOSPI
현대백화점,069960.KS,KOSPI
고영,098460.KQ,KOSDAQ
코스맥스,192820.KS,KOSPI
태성,323280.KQ,KOSDAQ
파두,440110.KQ,KOSDAQ
미래에셋증권2우B,00680K.KS,KOSPI
현대위아,011210.KS,KOSPI
하나마이크론,067310.KQ,KOSDAQ
삼표시멘트,038500.KQ,KOSDAQ
엘앤씨바이오,290650.KQ,KOSDAQ
BGF리테일,282330.KS,KOSPI
HJ중공업,097230.KS,KOSPI
달바글로벌,483650.KS,KOSPI
롯데관광개발,032350.KS,KOSPI
다우기술,023590.KS,KOSPI
쎄트렉아이,099320.KQ,KOSDAQ
SK가스,018670.KS,KOSPI
하이젠알앤엠,160190.KQ,KOSDAQ
오스코텍,039200.KQ,KOSDAQ
SK아이이테크놀로지,361610.KS,KOSPI
큐리옥스바이오시스템즈,445680.KQ,KOSDAQ
리브스메드,491000.KQ,KOSDAQ
신성델타테크,065350.KQ,KOSDAQ
씨어스테크놀로지,458870.KQ,KOSDAQ
서진시스템,178320.KQ,KOSDAQ
호텔신라,008770.KS,KOSPI
녹십자,006280.KS,KOSPI
시프트업,462870.KS,KOSPI
대웅제약,069620.KS,KOSPI
파라다이스,034230.KS,KOSPI
동원산업,006040.KS,KOSPI
에스앤에스텍,101490.KQ,KOSDAQ
금호타이어,073240.KS,KOSPI
알지노믹스,476830.KQ,KOSDAQ
한국카본,017960.KS,KOSPI
삼현,437730.KQ,KOSDAQ
두산우,000155.KS,KOSPI
스피어,347700.KQ,KOSDAQ
젬백스,082270.KQ,KOSDAQ
씨에스윈드,112610.KS,KOSPI
DL이앤씨,375500.KS,KOSPI
GS리테일,007070.KS,KOSPI
차바이오텍,085660.KQ,KOSDAQ
SK리츠,395400.KS,KOSPI
효성티앤씨,298020.KS,KOSPI
엔켐,348370.KQ,KOSDAQ
휴림로봇,090710.KQ,KOSDAQ
GS건설,006360.KS,KOSPI
SNT다이내믹스,003570.KS,KOSPI
한국콜마,161890.KS,KOSPI
테크윙,089030.KQ,KOSDAQ
코스모신소재,005070.KS,KOSPI
미래에셋생명,085620.KS,KOSPI
LX인터내셔널,001120.KS,KOSPI
우리기술,032820.KQ,KOSDAQ
클로봇,466100.KQ,KOSDAQ
오뚜기,007310.KS,KOSPI
아시아나항공,020560.KS,KOSPI
현대지에프홀딩스,005440.KS,KOSPI
DN오토모티브,007340.KS,KOSPI
와이씨,232140.KQ,KOSDAQ
레이크머티리얼즈,281740.KQ,KOSDAQ
코오롱인더,120110.KS,KOSPI
대신증권,003540.KS,KOSPI
성호전자,043260.KQ,KOSDAQ
피에스케이홀딩스,031980.KQ,KOSDAQ
네이처셀,007390.KQ,KOSDAQ
제주반도체,080220.KQ,KOSDAQ
LS마린솔루션,060370.KQ,KOSDAQ
에이프릴바이오,397030.KQ,KOSDAQ
오리온홀딩스,001800.KS,KOSPI
대웅,003090.KS,KOSPI
HDC현대산업개발,294870.KS,KOSPI
가온전선,000500.KS,KOSPI
씨젠,096530.KQ,KOSDAQ
유일로보틱스,388720.KQ,KOSDAQ
테스,095610.KQ,KOSDAQ
교보증권,030610.KS,KOSPI
와이지엔터테인먼트,122870.KQ,KOSDAQ
미래에셋벤처투자,100790.KQ,KOSDAQ
지투지바이오,456160.KQ,KOSDAQ
한화투자증권,003530.KS,KOSPI
한일시멘트,300720.KS,KOSPI
롯데리츠,330590.KS,KOSPI
LS에코에너지,229640.KS,KOSPI
지역난방공사,071320.KS,KOSPI
코리아써키트,007810.KS,KOSPI
하이트진로,000080.KS,KOSPI
롯데칠성,005300.KS,KOSPI
제이앤티씨,204270.KQ,KOSDAQ
STX엔진,077970.KS,KOSPI
GS피앤엘,499790.KS,KOSPI
KB발해인프라,415640.KS,KOSPI
RFHIC,218410.KQ,KOSDAQ
씨엠티엑스,388210.KQ,KOSDAQ
큐리언트,115180.KQ,KOSDAQ
삼성화재우,000815.KS,KOSPI
종근당,185750.KS,KOSPI
유진로봇,056080.KQ,KOSDAQ
앱클론,174900.KQ,KOSDAQ
LG화학우,051915.KS,KOSPI
루닛,328130.KQ,KOSDAQ
더블유게임즈,192080.KS,KOSPI
롯데정밀화학,004000.KS,KOSPI
동양생명,082640.KS,KOSPI
롯데렌탈,089860.KS,KOSPI
서부T&D,006730.KQ,KOSDAQ
HDC,012630.KS,KOSPI
SFA반도체,036540.KQ,KOSDAQ
일동제약,249420.KS,KOSPI
필옵틱스,161580.KQ,KOSDAQ
SK네트웍스,001740.KS,KOSPI
SK케미칼,285130.KS,KOSPI
롯데웰푸드,280360.KS,KOSPI
뉴로메카,348340.KQ,KOSDAQ
대주전자재료,078600.KQ,KOSDAQ
HS효성첨단소재,298050.KS,KOSPI
